number_of_trades,ISIN,instrumentId,instrumentType,currency,longDescription,maturityTypeValue,detailedCouponValue,calculationTypeValue,firstCouponDate,penultimateCouponDate,maturityDate,earliestMaturityDate,paymentDate,interestAccDate,parAmount,minPiece,minIncrement,marketSectorValue,firstConformingDate,lastConformingDate,conformantPeriodId,couponCurrency,endOfMonthRule,roundingForCoupon,settlementDays,lookupCouponTypeValue,freqValue,YieldConvType,dayCount,dayCountDiscount,dayCountFunding,coupon,interestRateIndexId,inflationIndexId,floatingIndexSpread,floatingIndexSideId,freqId,nextRefixDate,isIndexLinked,indexRatio,couponConventionId,IR_INDEX_DESC,IR_INDEX_NAME,frequency,INF_INDEX_DESC,INF_INDEX_NAME,description,resetIndexValue
1,DE000A2NB9T6,24237351,BOND,EUR,LAND BERLIN 0.625000 15Jul2039,AT MATURITY,FIXED,GERMAN BONDS,15/07/2020 00:00,15/07/2038 00:00,15/07/2039 00:00,15/07/2039 00:00,17/07/2019 00:00,17/07/2019 00:00,1000,1000,1000,Govt,17/07/2019 00:00,15/07/2039 00:00,20308208,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.625,,,,,,,,,,,,,,,,
2,DE000A168015,22299376,BOND,EUR,LAND BERLIN 0.625000 20Mar2026 487,AT MATURITY,FIXED,GERMAN BONDS,20/03/2017 00:00,20/03/2025 00:00,20/03/2026 00:00,20/03/2026 00:00,22/03/2016 00:00,22/03/2016 00:00,1000,1000,1000,Govt,22/03/2016 00:00,20/03/2026 00:00,18467206,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.625,,,,,,,,,,,,,,,,
1,DE000A1PGSJ4,16879834,BOND,EUR,LAND BRANDENBURG 1.500000 12Feb2020,AT MATURITY,FIXED,GERMAN BONDS,12/02/2014 00:00,12/02/2019 00:00,12/02/2020 00:00,12/02/2020 00:00,12/02/2013 00:00,12/02/2013 00:00,1000,1000,1000,Govt,12/02/2013 00:00,12/02/2020 00:00,13287726,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.5,,,,,,,,,,,,,,,,
1,DE000A1RQC51,23217529,BOND,EUR,LAND HESSEN 0.125000 20Jun2024 1703,AT MATURITY,FIXED,GERMAN BONDS,20/06/2018 00:00,20/06/2023 00:00,20/06/2024 00:00,20/06/2024 00:00,20/06/2017 00:00,20/06/2017 00:00,1000,1000,1000,Govt,20/06/2017 00:00,20/06/2024 00:00,19521846,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.125,,,,,,,,,,,,,,,,
1,DE000A1RQC85,24019903,BOND,EUR,LAND HESSEN 0.125000 27Apr2023 1706,AT MATURITY,FIXED,GERMAN BONDS,27/04/2019 00:00,27/04/2022 00:00,27/04/2023 00:00,27/04/2023 00:00,27/04/2018 00:00,27/04/2018 00:00,1000,1000,1000,Govt,27/04/2018 00:00,27/04/2023 00:00,20166604,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.125,,,,,,,,,,,,,,,,
2,DE000A1RQCY2,22443826,BOND,EUR,LAND HESSEN 0.375000 06Jul2026 1605,AT MATURITY,FIXED,GERMAN BONDS,06/07/2017 00:00,06/07/2025 00:00,06/07/2026 00:00,06/07/2026 00:00,14/06/2016 00:00,14/06/2016 00:00,1000,1000,1000,Govt,14/06/2016 00:00,06/07/2026 00:00,18630576,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.375,,,,,,,,,,,,,,,,
1,DE000A2DAHG0,22874313,BOND,EUR,LAND NIEDERSACHSEN 0 10Jan2022 867,AT MATURITY,FIXED,GERMAN BONDS,10/01/2018 00:00,10/01/2021 00:00,10/01/2022 00:00,10/01/2022 00:00,10/01/2017 00:00,10/01/2017 00:00,1000,1000,1000,Govt,10/01/2017 00:00,10/01/2022 00:00,19138320,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
1,DE000A161YU8,21907188,BOND,EUR,LAND NIEDERSACHSEN 0.125000 12Aug2019 854,AT MATURITY,FIXED,GERMAN BONDS,12/08/2016 00:00,12/08/2018 00:00,12/08/2019 00:00,12/08/2019 00:00,12/08/2015 00:00,12/08/2015 00:00,1000,1000,1000,Govt,12/08/2015 00:00,12/08/2019 00:00,18030135,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.125,,,,,,,,,,,,,,,,
2,DE000A2G9G15,23596534,BOND,EUR,LAND NIEDERSACHSEN 0.375000 09Jan2026 878,AT MATURITY,FIXED,GERMAN BONDS,09/01/2019 00:00,09/01/2025 00:00,09/01/2026 00:00,09/01/2026 00:00,10/01/2018 00:00,10/01/2018 00:00,1000,1000,1000,Govt,10/01/2018 00:00,09/01/2026 00:00,19938079,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.375,,,,,,,,,,,,,,,,
1,DE000A2G8V17,23632423,BOND,EUR,LAND NIEDERSACHSEN 0.750000 15Feb2028 879,AT MATURITY,FIXED,GERMAN BONDS,15/02/2019 00:00,15/02/2027 00:00,15/02/2028 00:00,15/02/2028 00:00,31/01/2018 00:00,31/01/2018 00:00,1000,1000,1000,Govt,31/01/2018 00:00,15/02/2028 00:00,19980686,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.75,,,,,,,,,,,,,,,,
2,DE000A12T4B4,21358768,BOND,EUR,LAND NIEDERSACHSEN 1.000000 18Aug2022 843,AT MATURITY,FIXED,GERMAN BONDS,18/08/2015 00:00,18/08/2021 00:00,18/08/2022 00:00,18/08/2022 00:00,18/08/2014 00:00,18/08/2014 00:00,1000,1000,1000,Govt,18/08/2014 00:00,18/08/2022 00:00,17458272,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1,,,,,,,,,,,,,,,,
1,DE000A1RE5F7,15629265,BOND,EUR,LAND NIEDERSACHSEN 1.375000 10Oct2019 831,AT MATURITY,FIXED,GERMAN BONDS,10/10/2013 00:00,10/10/2018 00:00,10/10/2019 00:00,10/10/2019 00:00,08/10/2012 00:00,08/10/2012 00:00,1000,1000,1000,Govt,08/10/2012 00:00,10/10/2019 00:00,12053376,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.375,,,,,,,,,,,,,,,,
1,DE000A1REYA2,15499125,BOND,EUR,LAND NIEDERSACHSEN 1.375000 26Sep2019 829,AT MATURITY,FIXED,GERMAN BONDS,26/09/2013 00:00,26/09/2018 00:00,26/09/2019 00:00,26/09/2019 00:00,26/09/2012 00:00,26/09/2012 00:00,1000,1000,1000,Govt,26/09/2012 00:00,26/09/2019 00:00,11914576,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.375,,,,,,,,,,,,,,,,
3,DE000NRW0L93,25783563,BOND,EUR,LAND NORDRHEIN-WESTFALEN 0 02Apr2024,AT MATURITY,FIXED,GERMAN BONDS,02/04/2021 00:00,02/04/2023 00:00,02/04/2024 00:00,02/04/2024 00:00,02/04/2020 00:00,02/04/2020 00:00,1000,1000,1000,Govt,02/04/2020 00:00,02/04/2024 00:00,21748840,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
1,DE000NRW0ME3,25859242,BOND,EUR,LAND NORDRHEIN-WESTFALEN 0 05May2025,AT MATURITY,FIXED,GERMAN BONDS,05/05/2021 00:00,05/05/2024 00:00,05/05/2025 00:00,05/05/2025 00:00,05/05/2020 00:00,05/05/2020 00:00,1000,1000,1000,Govt,05/05/2020 00:00,05/05/2025 00:00,21816262,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0,,,,,,,,,,,,,,,,
1,DE000NRW0H99,22211093,BOND,EUR,LAND NORDRHEIN-WESTFALEN 0.750000 16Jan2026,AT MATURITY,FIXED,GERMAN BONDS,16/01/2017 00:00,16/01/2025 00:00,16/01/2026 00:00,16/01/2026 00:00,29/01/2016 00:00,29/01/2016 00:00,1000,1000,1000,Govt,29/01/2016 00:00,16/01/2026 00:00,18364936,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.75,,,,,,,,,,,,,,,,
1,DE000NRW0F67,21504773,BOND,EUR,LAND NORDRHEIN-WESTFALEN 1.000000 16Jan2025,AT MATURITY,FIXED,GERMAN BONDS,16/01/2015 00:00,16/01/2024 00:00,16/01/2025 00:00,16/01/2025 00:00,27/11/2014 00:00,27/11/2014 00:00,1000,1000,1000,Govt,27/11/2014 00:00,16/01/2025 00:00,17608531,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1,,,,,,,,,,,,,,,,
1,DE000NRW1006,6070070,BOND,EUR,LAND NORDRHEIN-WESTFALEN 4.375000 29Apr2022 790,AT MATURITY,FIXED,GERMAN BONDS,29/04/2008 00:00,29/04/2021 00:00,29/04/2022 00:00,29/04/2022 00:00,30/04/2007 00:00,30/04/2007 00:00,1000,1000,1000,Govt,30/04/2007 00:00,29/04/2022 00:00,1706744,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,4.375,,,,,,,,,,,,,,,,
1,DE000RLP0777,22595256,BOND,EUR,LAND RHEINLAND-PFALZ 0.100000 18Aug2026,AT MATURITY,FIXED,GERMAN BONDS,18/08/2017 00:00,18/08/2025 00:00,18/08/2026 00:00,18/08/2026 00:00,18/08/2016 00:00,18/08/2016 00:00,1000,1000,1000,Govt,18/08/2016 00:00,18/08/2026 00:00,18796293,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.1,,,,,,,,,,,,,,,,
1,DE000A11QP00,21177286,BOND,EUR,LAND SACHSEN-ANHALT 1.875000 10Apr2024,AT MATURITY,FIXED,GERMAN BONDS,10/04/2015 00:00,10/04/2023 00:00,10/04/2024 00:00,10/04/2024 00:00,10/04/2014 00:00,10/04/2014 00:00,1000,1000,1000,Govt,10/04/2014 00:00,10/04/2024 00:00,17262944,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.875,,,,,,,,,,,,,,,,
3,DE000SHFM683,24223105,BOND,EUR,LAND SCHLESWIG-HOLSTEIN 0.250000 18Apr2028,AT MATURITY,FIXED,GERMAN BONDS,18/04/2020 00:00,18/04/2027 00:00,18/04/2028 00:00,18/04/2028 00:00,18/04/2019 00:00,18/04/2019 00:00,1000,1000,1000,Govt,18/04/2019 00:00,18/04/2028 00:00,20297801,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.25,,,,,,,,,,,,,,,,
1,DE000SHFM527,22395538,BOND,EUR,LAND SCHLESWIG-HOLSTEIN 0.500000 19May2026,AT MATURITY,FIXED,GERMAN BONDS,19/05/2017 00:00,19/05/2025 00:00,19/05/2026 00:00,19/05/2026 00:00,19/05/2016 00:00,19/05/2016 00:00,1000,1000,1000,Govt,19/05/2016 00:00,19/05/2026 00:00,18577839,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.5,,,,,,,,,,,,,,,,
1,DE000A289NS4,25859851,BOND,EUR,LAND THUERINGEN 0.050000 06May2030,AT MATURITY,FIXED,GERMAN BONDS,06/05/2021 00:00,06/05/2029 00:00,06/05/2030 00:00,06/05/2030 00:00,06/05/2020 00:00,06/05/2020 00:00,1000,1000,1000,Govt,06/05/2020 00:00,06/05/2030 00:00,21817102,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.05,,,,,,,,,,,,,,,,
1,DE000A13SMR9,21521943,BOND,EUR,LAND THUERINGEN 0.250000 09Dec2019,AT MATURITY,FIXED,GERMAN BONDS,09/12/2015 00:00,09/12/2018 00:00,09/12/2019 00:00,09/12/2019 00:00,09/12/2014 00:00,09/12/2014 00:00,1000,1000,1000,Govt,09/12/2014 00:00,09/12/2019 00:00,17625997,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.25,,,,,,,,,,,,,,,,
2,DE000HLB2TP9,25804747,BOND,EUR,LANDBK HESSEN-THUERINGEN 0.150000 06May2024 05e/,AT MATURITY,FIXED,GERMAN BONDS,06/05/2021 00:00,06/05/2023 00:00,06/05/2024 00:00,06/05/2024 00:00,06/05/2020 00:00,06/05/2020 00:00,1000,1000,1000,Corp,06/05/2020 00:00,06/05/2024 00:00,21766725,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.15,,,,,,,,,,,,,,,,
2,DE000HLB5KE5,23594285,BOND,EUR,LANDBK HESSEN-THUERINGEN 0.300000 09May2022 02a/,AT MATURITY,FIXED,GERMAN BONDS,09/05/2019 00:00,09/05/2021 00:00,09/05/2022 00:00,09/05/2022 00:00,09/02/2018 00:00,09/02/2018 00:00,1000,1000,1000,Corp,09/02/2018 00:00,09/05/2022 00:00,19934929,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.3,,,,,,,,,,,,,,,,
2,DE000HLB2H70,22962463,BOND,EUR,LANDBK HESSEN-THUERINGEN 0.320000 14May2021,AT MATURITY,FIXED,GERMAN BONDS,14/05/2018 00:00,14/05/2020 00:00,14/05/2021 00:00,14/05/2021 00:00,15/02/2017 00:00,15/02/2017 00:00,100,100000,100000,Corp,15/02/2017 00:00,14/05/2021 00:00,19240224,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.32,,,,,,,,,,,,,,,,
2,DE000HLB5KF2,23594083,BOND,EUR,LANDBK HESSEN-THUERINGEN 0.400000 07Feb2023 02b/,AT MATURITY,FIXED,GERMAN BONDS,07/02/2019 00:00,07/02/2022 00:00,07/02/2023 00:00,07/02/2023 00:00,07/02/2018 00:00,07/02/2018 00:00,1000,1000,1000,Corp,07/02/2018 00:00,07/02/2023 00:00,19934687,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.4,,,,,,,,,,,,,,,,
2,DE000HLB2TS3,25804753,BOND,EUR,LANDBK HESSEN-THUERINGEN 0.500000 04May2028 05g,AT MATURITY,FIXED,GERMAN BONDS,04/05/2021 00:00,04/05/2027 00:00,04/05/2028 00:00,04/05/2028 00:00,04/05/2020 00:00,04/05/2020 00:00,1000,1000,1000,Corp,04/05/2020 00:00,04/05/2028 00:00,21766729,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.5,,,,,,,,,,,,,,,,
1,DE000HLB3ZD0,24156907,BOND,EUR,LANDBK HESSEN-THUERINGEN 0.750000 11Feb2027,AT MATURITY,FIXED,GERMAN BONDS,11/02/2020 00:00,11/02/2026 00:00,11/02/2027 00:00,11/02/2027 00:00,11/02/2019 00:00,11/02/2019 00:00,1000,1000,1000,Corp,11/02/2019 00:00,11/02/2027 00:00,20254619,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.75,,,,,,,,,,,,,,,,
1,DE000LFA1685,22603985,BOND,EUR,LFA FOERDERBANK BAYERN 0.250000 24Aug2026 1168,AT MATURITY,FIXED,GERMAN BONDS,24/08/2017 00:00,24/08/2025 00:00,24/08/2026 00:00,24/08/2026 00:00,24/08/2016 00:00,24/08/2016 00:00,1000,1000,1000,Corp,24/08/2016 00:00,24/08/2026 00:00,18815441,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.25,,,,,,,,,,,,,,,,
1,DE000LFA1453,21279259,BOND,EUR,LFA FOERDERBANK BAYERN 1.500000 16Jun2023,AT MATURITY,FIXED,GERMAN BONDS,16/06/2015 00:00,16/06/2022 00:00,16/06/2023 00:00,16/06/2023 00:00,16/06/2014 00:00,16/06/2014 00:00,1000,1000,1000,Corp,16/06/2014 00:00,16/06/2023 00:00,17365857,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.5,,,,,,,,,,,,,,,,
1,DE000A254S82,25793016,BOND,EUR,MECKLENBURG-VORPOMMERN 0.010000 07Apr2027,AT MATURITY,FIXED,GERMAN BONDS,07/04/2021 00:00,07/04/2026 00:00,07/04/2027 00:00,07/04/2027 00:00,07/04/2020 00:00,07/04/2020 00:00,1000,1000,1000,Govt,07/04/2020 00:00,07/04/2027 00:00,21756573,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.01,,,,,,,,,,,,,,,,
1,DE000NLB8DX6,21397961,BOND,EUR,NORDDEUTSCHE LANDESBANK 0.875000 10Sep2020 1799,AT MATURITY,FIXED,GERMAN BONDS,10/09/2015 00:00,10/09/2019 00:00,10/09/2020 00:00,10/09/2020 00:00,10/09/2014 00:00,10/09/2014 00:00,500,500,500,Corp,10/09/2014 00:00,10/09/2020 00:00,17498214,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.875,,,,,,,,,,,,,,,,
2,DE000NLB2GD4,18117581,BOND,EUR,NORDDEUTSCHE LANDESBANK 1.625000 04Jun2020 1682,AT MATURITY,FIXED,GERMAN BONDS,04/06/2014 00:00,04/06/2019 00:00,04/06/2020 00:00,04/06/2020 00:00,04/06/2013 00:00,04/06/2013 00:00,500,500,500,Corp,04/06/2013 00:00,04/06/2020 00:00,14540529,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.625,,,,,,,,,,,,,,,,
1,DE000NLB6AU2,8326297,BOND,EUR,NORDDEUTSCHE LANDESBANK 5.090000 01Jul2019 1083,AT MATURITY,FIXED,GERMAN BONDS,01/07/2010 00:00,01/07/2018 00:00,01/07/2019 00:00,01/07/2019 00:00,01/07/2009 00:00,01/07/2009 00:00,50000,50000,50000,Corp,01/07/2009 00:00,01/07/2019 00:00,4363196,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,5.09,,,,,,,,,,,,,,,,
3,DE000NWB17S6,22978999,BOND,EUR,NRW.BANK 0.625000 23Feb2027,AT MATURITY,FIXED,GERMAN BONDS,23/02/2018 00:00,23/02/2026 00:00,23/02/2027 00:00,23/02/2027 00:00,23/02/2017 00:00,23/02/2017 00:00,1000,1000,1000,Corp,23/02/2017 00:00,23/02/2027 00:00,19258977,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,0.625,,,,,,,,,,,,,,,,
1,DE000NWB18M7,24202342,BOND,EUR,NRW.BANK 1.200000 28Mar2039,AT MATURITY,FIXED,GERMAN BONDS,28/03/2020 00:00,28/03/2038 00:00,28/03/2039 00:00,28/03/2039 00:00,28/03/2019 00:00,28/03/2019 00:00,1000,1000,1000,Corp,28/03/2019 00:00,28/03/2039 00:00,20280783,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.2,,,,,,,,,,,,,,,,
2,DE000NWB15R2,15261384,BOND,EUR,NRW.BANK 1.750000 03Sep2021,AT MATURITY,FIXED,GERMAN BONDS,03/09/2013 00:00,03/09/2020 00:00,03/09/2021 00:00,03/09/2021 00:00,03/09/2012 00:00,03/09/2012 00:00,1000,1000,1000,Corp,03/09/2012 00:00,03/09/2021 00:00,11675895,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,1.75,,,,,,,,,,,,,,,,
2,DE000NWB15G5,14006926,BOND,EUR,NRW.BANK 2.375000 02May2022 15G,AT MATURITY,FIXED,GERMAN BONDS,02/05/2013 00:00,02/05/2021 00:00,02/05/2022 00:00,02/05/2022 00:00,02/05/2012 00:00,02/05/2012 00:00,1000,1000,1000,Corp,02/05/2012 00:00,02/05/2022 00:00,10402459,EUR,Y,-1,2,FIXED,ANNUAL,SIA,ACT/ACT_ISMA,ACT/ACT_ISMA,ACT/360,2.375,,,,,,,,,,,,,,,,
